location,date,weather_code,ave_temp,RFR_temp,RFC_code
"(-34.875, 138.5)",2024-12-30,0.0,20.816002,28.67282537460327,3.0
"(-34.875, 138.5)",2024-12-31,2.0,20.266,22.604794673919677,3.0
"(-34.875, 138.5)",2025-01-01,2.0,20.966,23.51775517463684,3.0
"(-34.875, 138.5)",2025-01-02,3.0,24.566002,23.197550983428954,45.0
"(-34.875, 138.5)",2025-01-03,3.0,29.091,27.80831045150757,45.0
"(-34.875, 138.5)",2025-01-04,61.0,22.116001,20.31931484222412,80.0
"(-34.875, 138.5)",2025-01-05,63.0,18.391,15.446019439697265,80.0
"(-27.5, 153.0)",2024-12-30,80.0,25.473001,19.46425527572632,80.0
"(-27.5, 153.0)",2024-12-31,3.0,25.598001,20.012395305633547,2.0
"(-27.5, 153.0)",2025-01-01,95.0,25.623001,23.327270364761354,80.0
"(-27.5, 153.0)",2025-01-02,3.0,24.998001,28.352370014190672,80.0
"(-27.5, 153.0)",2025-01-03,2.0,24.823002,22.562795219421385,3.0
"(-27.5, 153.0)",2025-01-04,2.0,24.873001,16.187685117721557,45.0
"(-27.5, 153.0)",2025-01-05,2.0,25.248001,24.57718050003052,3.0
"(-35.25, 149.125)",2024-12-30,3.0,22.4665,23.356720638275146,3.0
"(-35.25, 149.125)",2024-12-31,3.0,23.9665,25.37908006668091,2.0
"(-35.25, 149.125)",2025-01-01,3.0,19.0665,28.901764888763427,1.0
"(-35.25, 149.125)",2025-01-02,2.0,20.2165,25.011445388793945,3.0
"(-35.25, 149.125)",2025-01-03,2.0,24.066498,22.941405601501465,2.0
"(-35.25, 149.125)",2025-01-04,3.0,25.3665,20.972700538635255,3.0
"(-35.25, 149.125)",2025-01-05,3.0,24.6915,14.295259919166565,80.0
"(-12.5, 130.875)",2024-12-30,96.0,29.943,30.05742046356201,80.0
"(-12.5, 130.875)",2024-12-31,3.0,30.968002,29.82906587600708,3.0
"(-12.5, 130.875)",2025-01-01,95.0,30.393,29.06724542617798,95.0
"(-12.5, 130.875)",2025-01-02,95.0,30.768002,19.3293750667572,80.0
"(-12.5, 130.875)",2025-01-03,96.0,29.318,24.149170274734498,95.0
"(-12.5, 130.875)",2025-01-04,96.0,28.868,28.877050704956055,95.0
"(-12.5, 130.875)",2025-01-05,80.0,29.018002,25.885395641326905,80.0
"(-42.875, 147.375)",2024-12-30,80.0,18.7235,21.01709535598755,80.0
"(-42.875, 147.375)",2024-12-31,80.0,15.5735,17.910500288009644,80.0
"(-42.875, 147.375)",2025-01-01,3.0,14.4235,21.837530126571654,3.0
"(-42.875, 147.375)",2025-01-02,3.0,15.5234995,21.39064031600952,3.0
"(-42.875, 147.375)",2025-01-03,3.0,21.3735,21.242015209197998,3.0
"(-42.875, 147.375)",2025-01-04,3.0,17.6985,17.64940475463867,3.0
"(-42.875, 147.375)",2025-01-05,3.0,13.6985,21.030719900131224,3.0
"(-37.75, 144.875)",2024-12-30,2.0,19.817001,22.629004821777343,3.0
"(-37.75, 144.875)",2024-12-31,3.0,18.017,22.6412956905365,3.0
"(-37.75, 144.875)",2025-01-01,3.0,17.192001,24.4574450302124,3.0
"(-37.75, 144.875)",2025-01-02,1.0,20.142,20.757359886169432,3.0
"(-37.75, 144.875)",2025-01-03,3.0,27.567001,23.559275093078615,3.0
"(-37.75, 144.875)",2025-01-04,3.0,25.592,21.311630783081053,2.0
"(-37.75, 144.875)",2025-01-05,80.0,16.567001,12.885835046768188,80.0
"(-33.75, 151.125)",2024-12-30,3.0,23.258999,19.662695426940918,3.0
"(-33.75, 151.125)",2024-12-31,95.0,24.809,22.98883017539978,80.0
"(-33.75, 151.125)",2025-01-01,80.0,20.234001,15.162480001449586,51.0
"(-33.75, 151.125)",2025-01-02,3.0,20.759,18.30688500404358,3.0
"(-33.75, 151.125)",2025-01-03,3.0,22.559,24.81522981643677,3.0
"(-33.75, 151.125)",2025-01-04,3.0,29.534,22.108860588073732,3.0
"(-33.75, 151.125)",2025-01-05,3.0,30.434002,21.46810535430908,3.0
"(-32.0, 115.875)",2024-12-30,2.0,30.142998,26.947565212249756,3.0
"(-32.0, 115.875)",2024-12-31,3.0,31.443,27.53354965209961,3.0
"(-32.0, 115.875)",2025-01-01,1.0,26.293,25.1084503364563,2.0
"(-32.0, 115.875)",2025-01-02,2.0,23.618,24.798091182708742,3.0
"(-32.0, 115.875)",2025-01-03,3.0,24.243,28.17904531478882,3.0
"(-32.0, 115.875)",2025-01-04,3.0,26.293,24.41373971939087,3.0
"(-32.0, 115.875)",2025-01-05,3.0,29.518,22.802970199584962,3.0
